Game,MyAgent,Victory,result
002,MEDIUM,VILLAGER,1
003,BODYGUARD,VILLAGER,1
004,VILLAGER,WEREWOLF,0
005,WEREWOLF,VILLAGER,0
006,WEREWOLF,VILLAGER,0
007,VILLAGER,VILLAGER,1
008,SEER,WEREWOLF,0
009,VILLAGER,WEREWOLF,0
010,VILLAGER,VILLAGER,1
011,WEREWOLF,WEREWOLF,1
012,VILLAGER,VILLAGER,1
013,BODYGUARD,WEREWOLF,0
014,VILLAGER,WEREWOLF,0
015,VILLAGER,WEREWOLF,0
016,VILLAGER,VILLAGER,1
017,SEER,VILLAGER,1
018,VILLAGER,WEREWOLF,0
019,VILLAGER,WEREWOLF,0
020,VILLAGER,VILLAGER,1
021,VILLAGER,VILLAGER,1
022,WEREWOLF,VILLAGER,0
023,VILLAGER,WEREWOLF,0
024,VILLAGER,VILLAGER,1
025,VILLAGER,VILLAGER,1
026,SEER,VILLAGER,1
027,VILLAGER,VILLAGER,1
028,WEREWOLF,VILLAGER,0
029,MEDIUM,WEREWOLF,0
030,VILLAGER,VILLAGER,1
031,VILLAGER,VILLAGER,1
032,WEREWOLF,WEREWOLF,1
033,BODYGUARD,WEREWOLF,0
034,VILLAGER,WEREWOLF,0
035,VILLAGER,WEREWOLF,0
036,WEREWOLF,VILLAGER,0
037,WEREWOLF,VILLAGER,0
038,VILLAGER,WEREWOLF,0
039,VILLAGER,VILLAGER,1
040,VILLAGER,WEREWOLF,0
041,WEREWOLF,VILLAGER,0
042,VILLAGER,VILLAGER,1
043,WEREWOLF,WEREWOLF,1
044,VILLAGER,WEREWOLF,0
045,VILLAGER,WEREWOLF,0
046,VILLAGER,WEREWOLF,0
047,WEREWOLF,VILLAGER,0
048,POSSESSED,WEREWOLF,1
049,VILLAGER,WEREWOLF,0
050,VILLAGER,WEREWOLF,0
051,WEREWOLF,VILLAGER,0
052,SEER,VILLAGER,1
053,WEREWOLF,VILLAGER,0
054,POSSESSED,VILLAGER,0
055,VILLAGER,VILLAGER,1
056,VILLAGER,WEREWOLF,0
057,VILLAGER,WEREWOLF,0
058,VILLAGER,WEREWOLF,0
059,VILLAGER,VILLAGER,1
060,SEER,WEREWOLF,0
061,MEDIUM,WEREWOLF,0
062,VILLAGER,VILLAGER,1
063,VILLAGER,VILLAGER,1
064,WEREWOLF,VILLAGER,0
065,BODYGUARD,VILLAGER,1
066,VILLAGER,VILLAGER,1
067,VILLAGER,VILLAGER,1
068,WEREWOLF,VILLAGER,0
069,VILLAGER,VILLAGER,1
070,VILLAGER,VILLAGER,1
071,WEREWOLF,WEREWOLF,1
072,MEDIUM,WEREWOLF,0
073,BODYGUARD,WEREWOLF,0
074,VILLAGER,WEREWOLF,0
075,WEREWOLF,VILLAGER,0
076,WEREWOLF,WEREWOLF,1
077,MEDIUM,VILLAGER,1
078,VILLAGER,VILLAGER,1
079,WEREWOLF,VILLAGER,0
080,VILLAGER,WEREWOLF,0
081,WEREWOLF,VILLAGER,0
082,VILLAGER,VILLAGER,1
083,WEREWOLF,WEREWOLF,1
084,WEREWOLF,VILLAGER,0
085,VILLAGER,WEREWOLF,0
086,VILLAGER,VILLAGER,1
087,VILLAGER,WEREWOLF,0
088,WEREWOLF,WEREWOLF,1
089,WEREWOLF,WEREWOLF,1
090,WEREWOLF,VILLAGER,0
091,VILLAGER,VILLAGER,1
092,WEREWOLF,WEREWOLF,1
093,VILLAGER,VILLAGER,1
094,SEER,WEREWOLF,0
095,VILLAGER,VILLAGER,1
096,VILLAGER,VILLAGER,1
097,VILLAGER,VILLAGER,1
098,MEDIUM,VILLAGER,1
099,VILLAGER,VILLAGER,1
VILLAGER,SEER,MEDIUM,BODYGUARD,POSSESSED,WEREWOLF
54,6,6,5,27,2
31,3,3,2,9,1
VILLAGER,WEREWOLF
39,10
